a[4]: -996154; a[1028]: 47940; a[1944]: 948214
a[9]: -994740; a[1008]: 29332; a[1965]: 965408
a[9]: -994740; a[1167]: 186262; a[1794]: 808478
a[10]: -993661; a[1134]: 158597; a[1818]: 835064
a[11]: -993211; a[1355]: 381175; a[1592]: 612036
a[12]: -992987; a[1391]: 408165; a[1566]: 584822
a[16]: -987905; a[1264]: 286767; a[1675]: 701138
a[17]: -987062; a[988]: 13993; a[1974]: 973069
a[17]: -987062; a[1407]: 426130; a[1549]: 560932
a[24]: -978752; a[1022]: 44339; a[1926]: 934413
a[27]: -977640; a[1196]: 221729; a[1730]: 755911
a[29]: -973906; a[995]: 21071; a[1949]: 952835
a[29]: -973906; a[1387]: 405057; a[1556]: 568849
a[30]: -973655; a[1431]: 451074; a[1516]: 522581
a[34]: -969571; a[1002]: 24792; a[1942]: 944779
a[35]: -969385; a[1050]: 70838; a[1888]: 898547
a[35]: -969385; a[1127]: 152184; a[1800]: 817201
a[36]: -968928; a[1142]: 164076; a[1790]: 804852
a[41]: -966707; a[1346]: 372550; a[1572]: 594157
a[47]: -957420; a[1374]: 394414; a[1553]: 563006
a[50]: -952583; a[1131]: 157230; a[1777]: 795353
a[51]: -951626; a[1026]: 46096; a[1896]: 905530
a[52]: -951004; a[1169]: 188370; a[1737]: 762634
a[53]: -948879; a[1063]: 90864; a[1845]: 858015
a[54]: -947668; a[1010]: 31175; a[1909]: 916493
a[54]: -947668; a[1170]: 188579; a[1734]: 759089
a[55]: -946477; a[1248]: 273535; a[1644]: 672942
a[62]: -942713; a[1070]: 101415; a[1829]: 841298
a[64]: -938113; a[975]: -10101; a[1944]: 948214
a[68]: -935652; a[994]: 20012; a[1907]: 915640
a[68]: -935652; a[1375]: 394661; a[1530]: 540991
a[69]: -935044; a[1122]: 147811; a[1761]: 787233
a[70]: -933803; a[1051]: 71257; a[1848]: 862546
a[73]: -930317; a[1432]: 451727; a[1465]: 478590
a[74]: -927326; a[1448]: 461296; a[1456]: 466030
a[76]: -925644; a[987]: 13962; a[1905]: 911682
a[76]: -925644; a[1234]: 260262; a[1638]: 665382
a[79]: -922943; a[1361]: 384953; a[1528]: 537990
a[80]: -922841; a[1030]: 50632; a[1864]: 872209
a[81]: -922602; a[1381]: 400440; a[1514]: 522162
a[82]: -921403; a[1002]: 24792; a[1887]: 896611
a[83]: -920065; a[1183]: 207982; a[1685]: 712083
a[84]: -915079; a[1193]: 220755; a[1664]: 694324
a[86]: -914042; a[1093]: 122580; a[1767]: 791462
a[87]: -913774; a[904]: -80231; a[1995]: 994005
a[87]: -913774; a[922]: -57514; a[1973]: 971288
a[87]: -913774; a[1433]: 452478; a[1448]: 461296
a[88]: -912832; a[1432]: 451727; a[1447]: 461105
a[91]: -910736; a[900]: -81671; a[1994]: 992407
a[91]: -910736; a[1187]: 211115; a[1673]: 699621
a[92]: -908450; a[1249]: 273789; a[1611]: 634661
a[94]: -905599; a[930]: -48561; a[1951]: 954160
a[95]: -902746; a[890]: -89569; a[1993]: 992315
a[96]: -902553; a[887]: -91765; a[1996]: 994318
a[101]: -898132; a[1156]: 172329; a[1700]: 725803
a[103]: -894253; a[1235]: 260607; a[1609]: 633646
a[105]: -893110; a[1066]: 99179; a[1772]: 793931
a[105]: -893110; a[1314]: 337879; a[1542]: 555231
a[111]: -887956; a[1073]: 105729; a[1755]: 782227
a[111]: -887956; a[1220]: 250472; a[1614]: 637484
a[111]: -887956; a[1254]: 277263; a[1590]: 610693
a[112]: -887534; a[1319]: 343239; a[1534]: 544295
a[112]: -887534; a[1418]: 435056; a[1433]: 452478
a[114]: -885732; a[1257]: 279142; a[1584]: 606590
a[118]: -878838; a[1136]: 162281; a[1689]: 716557
a[124]: -875720; a[1232]: 257176; a[1599]: 618544
a[125]: -872825; a[1011]: 33400; a[1827]: 839425
a[125]: -872825; a[1245]: 268583; a[1579]: 604242
a[128]: -867337; a[1155]: 171136; a[1667]: 696201
a[128]: -867337; a[1205]: 232112; a[1613]: 635225
a[131]: -862390; a[1239]: 262099; a[1574]: 600291
a[131]: -862390; a[1374]: 394414; a[1457]: 467976
a[132]: -860684; a[1074]: 106738; a[1727]: 753946
a[134]: -859625; a[904]: -80231; a[1937]: 939856
a[135]: -859289; a[934]: -46241; a[1896]: 905530
a[136]: -858978; a[1140]: 162945; a[1666]: 696033
a[137]: -858766; a[1368]: 389739; a[1460]: 469027
a[139]: -856265; a[1034]: 54384; a[1786]: 801881
a[142]: -854881; a[1204]: 228453; a[1603]: 626428
a[143]: -853053; a[1042]: 61204; a[1768]: 791849
a[148]: -849510; a[1034]: 54384; a[1775]: 795126
a[150]: -847432; a[1122]: 147811; a[1673]: 699621
a[151]: -847079; a[998]: 22759; a[1809]: 824320
a[154]: -844963; a[1082]: 112319; a[1708]: 732644
a[155]: -844854; a[839]: -142468; a[1990]: 987322
a[156]: -843249; a[1001]: 23600; a[1801]: 819649
a[161]: -839699; a[962]: -18011; a[1843]: 857710
a[161]: -839699; a[1350]: 373669; a[1456]: 466030
a[162]: -838348; a[1141]: 163608; a[1646]: 674740
a[164]: -836219; a[1283]: 309422; a[1520]: 526797
a[164]: -836219; a[1305]: 327228; a[1504]: 508991
a[165]: -835676; a[1053]: 73042; a[1737]: 762634
a[166]: -834490; a[853]: -127244; a[1959]: 961734
a[167]: -832957; a[859]: -119878; a[1949]: 952835
a[167]: -832957; a[1301]: 323966; a[1504]: 508991
a[167]: -832957; a[1329]: 352879; a[1468]: 480078
a[170]: -830346; a[1051]: 71257; a[1734]: 759089
a[173]: -823446; a[1140]: 162945; a[1634]: 660501
a[173]: -823446; a[1391]: 408165; a[1397]: 415281
a[174]: -818759; a[966]: -17003; a[1821]: 835762
a[174]: -818759; a[1163]: 181275; a[1614]: 637484
a[175]: -814506; a[1331]: 353730; a[1444]: 460776
a[176]: -814488; a[1056]: 79503; a[1710]: 734985
a[177]: -812820; a[828]: -155770; a[1969]: 968590
a[181]: -812212; a[1377]: 397791; a[1396]: 414421
a[182]: -812044; a[804]: -186429; a[1998]: 998473
a[182]: -812044; a[1124]: 149020; a[1637]: 663024
